Linux,2.6.32-21-generic,(niuhicore2),	03/29/2011,	_x86_64_	(16,CPU)

12:00:01,AM,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%idle
12:05:01,AM,all,5.24,0.02,0.70,2.99,0.00,0.00,0.20,0.00,90.86
12:05:01,AM,0,5.88,0.06,1.08,9.24,0.00,0.01,0.16,0.00,83.57
12:05:01,AM,1,6.65,0.00,0.87,7.20,0.00,0.00,0.22,0.00,85.04
12:05:01,AM,2,4.86,0.01,0.84,3.81,0.00,0.03,0.23,0.00,90.22
12:05:01,AM,3,6.45,0.01,0.53,0.41,0.00,0.00,0.21,0.00,92.40
12:05:01,AM,4,6.07,0.02,1.31,8.81,0.00,0.00,0.54,0.00,83.25
12:05:01,AM,5,6.10,0.01,0.70,1.62,0.00,0.00,0.17,0.00,91.40
12:05:01,AM,6,4.47,0.00,0.44,1.02,0.00,0.00,0.12,0.00,93.94
12:05:01,AM,7,4.61,0.00,0.41,2.11,0.00,0.00,0.07,0.00,92.81
12:05:01,AM,8,3.41,0.00,0.65,0.66,0.00,0.01,0.16,0.00,95.10
12:05:01,AM,9,5.84,0.03,0.69,1.32,0.00,0.00,0.20,0.00,91.93
12:05:01,AM,10,4.17,0.02,0.48,1.32,0.00,0.00,0.12,0.00,93.89
12:05:01,AM,11,5.23,0.02,0.73,7.46,0.00,0.00,0.32,0.00,86.24
12:05:01,AM,12,3.31,0.00,0.46,0.05,0.00,0.00,0.12,0.00,96.05
12:05:01,AM,13,5.65,0.04,0.76,0.85,0.00,0.00,0.19,0.00,92.51
12:05:01,AM,14,6.87,0.01,0.76,0.97,0.00,0.00,0.20,0.00,91.20
12:05:01,AM,15,4.20,0.00,0.47,0.81,0.00,0.00,0.14,0.00,94.37
12:15:01,AM,all,4.57,0.01,0.55,0.71,0.00,0.00,0.15,0.00,94.00
12:15:01,AM,0,5.86,0.04,0.80,2.06,0.00,0.04,0.27,0.00,90.92
12:15:01,AM,1,5.46,0.01,0.65,0.39,0.00,0.00,0.19,0.00,93.31
12:15:01,AM,2,4.33,0.00,0.44,0.48,0.00,0.00,0.13,0.00,94.63
12:15:01,AM,3,4.70,0.00,0.45,0.35,0.00,0.00,0.13,0.00,94.37
12:15:01,AM,4,5.90,0.02,0.81,1.67,0.00,0.00,0.18,0.00,91.41
12:15:01,AM,5,5.36,0.00,0.67,1.32,0.00,0.00,0.18,0.00,92.46
12:15:01,AM,6,3.95,0.00,0.49,2.56,0.00,0.01,0.18,0.00,92.80
12:15:01,AM,7,4.23,0.00,0.40,0.45,0.00,0.00,0.12,0.00,94.80
12:15:01,AM,8,3.54,0.01,0.46,0.04,0.00,0.00,0.11,0.00,95.83
12:15:01,AM,9,4.46,0.03,0.62,0.55,0.00,0.00,0.12,0.00,94.22
12:15:01,AM,10,3.79,0.00,0.42,0.30,0.00,0.00,0.11,0.00,95.37
12:15:01,AM,11,4.21,0.00,0.35,0.19,0.00,0.00,0.11,0.00,95.14
12:15:01,AM,12,3.92,0.01,0.53,0.39,0.00,0.00,0.11,0.00,95.05
12:15:01,AM,13,4.02,0.04,0.57,0.24,0.00,0.00,0.09,0.00,95.03
12:15:01,AM,14,5.61,0.01,0.79,0.16,0.00,0.00,0.19,0.00,93.24
12:15:01,AM,15,3.79,0.01,0.37,0.18,0.00,0.00,0.12,0.00,95.53
12:25:01,AM,all,4.57,0.01,0.59,1.02,0.00,0.01,0.16,0.00,93.65
12:25:01,AM,0,5.89,0.03,0.91,3.29,0.00,0.04,0.26,0.00,89.59
12:25:01,AM,1,4.70,0.01,0.61,0.29,0.00,0.00,0.19,0.00,94.19
